pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,pizza_size,unit_price,total_price,pizza_category,pizza_ingredients
1.00,1.00,bbq_ckn_m,5.00,1/4/2015,01:47:00.000,M,9.73,48.65,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
2.00,2.00,pepperoni_s,1.00,1/20/2015,22:14:00.000,XL,17.28,17.28,Classic,"Pepperoni, Mozzarella Cheese"
3.00,2.00,pepperoni_s,2.00,1/19/2015,01:34:00.000,M,17.57,35.14,Classic,"Pepperoni, Mozzarella Cheese"
4.00,3.00,veggie_l,3.00,1/7/2015,15:08:00.000,S,18.09,54.27,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
5.00,3.00,five_cheese_l,2.00,1/3/2015,14:01:00.000,S,17.48,34.96,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
6.00,4.00,pepperoni_s,2.00,1/16/2015,02:06:00.000,S,16.43,32.86,Classic,"Pepperoni, Mozzarella Cheese"
7.00,4.00,pepperoni_s,4.00,1/2/2015,14:10:00.000,M,13.27,53.08,Classic,"Pepperoni, Mozzarella Cheese"
8.00,5.00,classic_dlx_m,5.00,1/10/2015,15:30:00.000,S,17.73,88.65,Classic,"Pepperoni, Mushrooms, Red Onions"
9.00,5.00,meat_lovers_xl,3.00,1/11/2015,18:11:00.000,L,14.23,42.69,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
10.00,6.00,veggie_l,5.00,1/3/2015,15:07:00.000,S,9.32,46.60,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
11.00,6.00,classic_dlx_m,4.00,1/13/2015,18:36:00.000,M,8.65,34.60,Classic,"Pepperoni, Mushrooms, Red Onions"
12.00,7.00,bbq_ckn_m,5.00,1/5/2015,23:19:00.000,S,15.16,75.80,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
13.00,7.00,meat_lovers_xl,1.00,1/14/2015,18:00:00.000,S,11.64,11.64,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
14.00,8.00,pepperoni_s,5.00,1/19/2015,02:20:00.000,M,9.98,49.90,Classic,"Pepperoni, Mozzarella Cheese"
15.00,8.00,bbq_ckn_m,2.00,1/21/2015,11:24:00.000,S,13.82,27.64,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
16.00,9.00,classic_dlx_m,4.00,1/5/2015,06:49:00.000,L,19.57,78.28,Classic,"Pepperoni, Mushrooms, Red Onions"
17.00,9.00,veggie_l,2.00,1/9/2015,18:45:00.000,XL,18.64,37.28,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
18.00,10.00,pepperoni_s,1.00,1/2/2015,13:24:00.000,M,18.61,18.61,Classic,"Pepperoni, Mozzarella Cheese"
19.00,10.00,veggie_l,5.00,1/14/2015,04:33:00.000,XL,15.40,77.00,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
20.00,11.00,classic_dlx_m,1.00,1/12/2015,03:18:00.000,XL,8.49,8.49,Classic,"Pepperoni, Mushrooms, Red Onions"
21.00,11.00,classic_dlx_m,4.00,1/19/2015,18:41:00.000,L,15.72,62.88,Classic,"Pepperoni, Mushrooms, Red Onions"
22.00,12.00,classic_dlx_m,5.00,1/6/2015,20:44:00.000,L,15.02,75.10,Classic,"Pepperoni, Mushrooms, Red Onions"
23.00,12.00,classic_dlx_m,4.00,1/2/2015,06:47:00.000,XL,12.52,50.08,Classic,"Pepperoni, Mushrooms, Red Onions"
24.00,13.00,bbq_ckn_m,3.00,1/21/2015,22:48:00.000,XL,11.09,33.27,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
25.00,13.00,classic_dlx_m,2.00,1/15/2015,04:28:00.000,L,13.80,27.60,Classic,"Pepperoni, Mushrooms, Red Onions"
26.00,14.00,meat_lovers_xl,1.00,1/18/2015,11:16:00.000,M,16.99,16.99,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
27.00,14.00,pepperoni_s,2.00,1/17/2015,06:41:00.000,L,15.43,30.86,Classic,"Pepperoni, Mozzarella Cheese"
28.00,15.00,pepperoni_s,5.00,1/7/2015,09:57:00.000,XL,17.65,88.25,Classic,"Pepperoni, Mozzarella Cheese"
29.00,15.00,bbq_ckn_m,2.00,1/15/2015,00:20:00.000,XL,9.04,18.08,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
30.00,16.00,meat_lovers_xl,1.00,1/5/2015,15:02:00.000,M,15.95,15.95,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
31.00,16.00,bbq_ckn_m,5.00,1/7/2015,03:42:00.000,XL,9.31,46.55,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
32.00,17.00,hawaiian_m,4.00,1/22/2015,03:17:00.000,L,8.55,34.20,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
33.00,17.00,meat_lovers_xl,5.00,1/2/2015,20:14:00.000,S,10.55,52.75,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
34.00,18.00,meat_lovers_xl,2.00,1/21/2015,16:48:00.000,XL,10.83,21.66,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
35.00,18.00,veggie_l,5.00,1/7/2015,03:21:00.000,M,14.05,70.25,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
36.00,19.00,bbq_ckn_m,3.00,1/15/2015,22:37:00.000,XL,10.42,31.26,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
37.00,19.00,pepperoni_s,3.00,1/16/2015,12:04:00.000,XL,15.91,47.73,Classic,"Pepperoni, Mozzarella Cheese"
38.00,20.00,veggie_l,1.00,1/9/2015,06:57:00.000,S,15.84,15.84,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
39.00,20.00,hawaiian_m,2.00,1/19/2015,08:59:00.000,L,19.30,38.60,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
40.00,21.00,hawaiian_m,3.00,1/2/2015,11:35:00.000,S,11.70,35.10,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
41.00,21.00,bbq_ckn_m,5.00,1/22/2015,06:37:00.000,L,19.90,99.50,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
42.00,22.00,hawaiian_m,3.00,1/20/2015,13:29:00.000,XL,12.17,36.51,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
43.00,22.00,hawaiian_m,5.00,1/18/2015,08:01:00.000,L,19.69,98.45,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
44.00,23.00,pepperoni_s,2.00,1/16/2015,17:52:00.000,L,15.04,30.08,Classic,"Pepperoni, Mozzarella Cheese"
45.00,23.00,five_cheese_l,4.00,1/14/2015,23:26:00.000,L,13.81,55.24,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
46.00,24.00,meat_lovers_xl,5.00,1/15/2015,03:58:00.000,S,15.74,78.70,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
47.00,24.00,veggie_l,2.00,1/3/2015,08:07:00.000,S,14.53,29.06,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
48.00,25.00,veggie_l,1.00,1/3/2015,22:30:00.000,M,18.29,18.29,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
49.00,25.00,veggie_l,2.00,1/3/2015,18:36:00.000,L,14.35,28.70,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
50.00,26.00,veggie_l,5.00,1/17/2015,18:24:00.000,M,16.91,84.55,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
51.00,26.00,classic_dlx_m,1.00,1/11/2015,14:13:00.000,XL,13.91,13.91,Classic,"Pepperoni, Mushrooms, Red Onions"
52.00,27.00,classic_dlx_m,3.00,1/16/2015,23:12:00.000,XL,8.65,25.95,Classic,"Pepperoni, Mushrooms, Red Onions"
53.00,27.00,pepperoni_s,3.00,1/11/2015,05:17:00.000,M,9.27,27.81,Classic,"Pepperoni, Mozzarella Cheese"
54.00,28.00,bbq_ckn_m,4.00,1/9/2015,18:18:00.000,XL,12.05,48.20,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
55.00,28.00,classic_dlx_m,3.00,1/6/2015,00:37:00.000,XL,9.33,27.99,Classic,"Pepperoni, Mushrooms, Red Onions"
56.00,29.00,veggie_l,2.00,1/2/2015,05:31:00.000,S,11.42,22.84,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
57.00,29.00,meat_lovers_xl,3.00,1/21/2015,00:44:00.000,XL,12.03,36.09,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
58.00,30.00,meat_lovers_xl,5.00,1/13/2015,02:51:00.000,L,10.74,53.70,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
59.00,30.00,pepperoni_s,4.00,1/11/2015,01:41:00.000,S,10.93,43.72,Classic,"Pepperoni, Mozzarella Cheese"
60.00,31.00,meat_lovers_xl,5.00,1/18/2015,10:15:00.000,XL,19.19,95.95,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
61.00,31.00,five_cheese_l,1.00,1/15/2015,18:05:00.000,M,11.86,11.86,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
62.00,32.00,five_cheese_l,3.00,1/20/2015,01:30:00.000,M,12.54,37.62,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
63.00,32.00,hawaiian_m,4.00,1/6/2015,14:55:00.000,L,14.95,59.80,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
64.00,33.00,classic_dlx_m,3.00,1/2/2015,22:10:00.000,XL,14.57,43.71,Classic,"Pepperoni, Mushrooms, Red Onions"
65.00,33.00,five_cheese_l,3.00,1/1/2015,21:12:00.000,L,19.18,57.54,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
66.00,34.00,veggie_l,3.00,1/12/2015,03:30:00.000,S,15.87,47.61,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
67.00,34.00,classic_dlx_m,1.00,1/5/2015,07:24:00.000,M,17.03,17.03,Classic,"Pepperoni, Mushrooms, Red Onions"
68.00,35.00,five_cheese_l,5.00,1/9/2015,06:35:00.000,XL,8.96,44.80,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
69.00,35.00,five_cheese_l,1.00,1/20/2015,10:05:00.000,S,15.27,15.27,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
70.00,36.00,classic_dlx_m,1.00,1/19/2015,16:05:00.000,M,11.87,11.87,Classic,"Pepperoni, Mushrooms, Red Onions"
71.00,36.00,pepperoni_s,5.00,1/19/2015,18:29:00.000,L,19.51,97.55,Classic,"Pepperoni, Mozzarella Cheese"
72.00,37.00,hawaiian_m,3.00,1/8/2015,06:15:00.000,M,11.00,33.00,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
73.00,37.00,five_cheese_l,2.00,1/6/2015,08:54:00.000,XL,19.41,38.82,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
74.00,38.00,bbq_ckn_m,4.00,1/6/2015,03:32:00.000,M,14.26,57.04,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
75.00,38.00,five_cheese_l,3.00,1/18/2015,13:16:00.000,M,19.14,57.42,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
76.00,39.00,classic_dlx_m,4.00,1/9/2015,09:54:00.000,S,19.97,79.88,Classic,"Pepperoni, Mushrooms, Red Onions"
77.00,39.00,veggie_l,1.00,1/7/2015,14:45:00.000,L,14.15,14.15,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
78.00,40.00,meat_lovers_xl,5.00,1/3/2015,09:46:00.000,XL,13.69,68.45,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
79.00,40.00,veggie_l,4.00,1/13/2015,13:46:00.000,XL,17.99,71.96,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
80.00,41.00,veggie_l,3.00,1/4/2015,05:09:00.000,M,18.57,55.71,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
81.00,41.00,bbq_ckn_m,4.00,1/21/2015,21:04:00.000,L,19.01,76.04,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
82.00,42.00,classic_dlx_m,5.00,1/13/2015,15:44:00.000,S,19.73,98.65,Classic,"Pepperoni, Mushrooms, Red Onions"
83.00,42.00,five_cheese_l,1.00,1/8/2015,13:15:00.000,XL,17.16,17.16,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
84.00,43.00,pepperoni_s,1.00,1/18/2015,01:47:00.000,S,17.12,17.12,Classic,"Pepperoni, Mozzarella Cheese"
85.00,43.00,bbq_ckn_m,3.00,1/4/2015,18:01:00.000,L,14.84,44.52,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
86.00,44.00,bbq_ckn_m,4.00,1/10/2015,00:23:00.000,L,17.71,70.84,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
87.00,44.00,veggie_l,1.00,1/2/2015,14:02:00.000,M,10.51,10.51,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
88.00,45.00,bbq_ckn_m,5.00,1/2/2015,19:08:00.000,S,8.04,40.20,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
89.00,45.00,five_cheese_l,1.00,1/16/2015,15:27:00.000,S,19.81,19.81,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
90.00,46.00,classic_dlx_m,1.00,1/4/2015,21:53:00.000,M,11.93,11.93,Classic,"Pepperoni, Mushrooms, Red Onions"
91.00,46.00,bbq_ckn_m,2.00,1/16/2015,06:59:00.000,L,12.53,25.06,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
92.00,47.00,veggie_l,3.00,1/20/2015,16:44:00.000,L,16.20,48.60,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
93.00,47.00,five_cheese_l,1.00,1/2/2015,13:02:00.000,S,14.95,14.95,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
94.00,48.00,hawaiian_m,1.00,1/3/2015,05:37:00.000,XL,17.22,17.22,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
95.00,48.00,classic_dlx_m,5.00,1/20/2015,20:52:00.000,M,16.52,82.60,Classic,"Pepperoni, Mushrooms, Red Onions"
96.00,49.00,veggie_l,5.00,1/8/2015,22:11:00.000,S,16.69,83.45,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
97.00,49.00,hawaiian_m,3.00,1/8/2015,21:46:00.000,L,16.04,48.12,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
98.00,50.00,meat_lovers_xl,1.00,1/5/2015,04:27:00.000,L,18.06,18.06,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
99.00,50.00,veggie_l,1.00,1/21/2015,15:23:00.000,XL,11.70,11.70,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
100.00,51.00,classic_dlx_m,4.00,1/5/2015,04:16:00.000,XL,15.45,61.80,Classic,"Pepperoni, Mushrooms, Red Onions"
